Painting Segment 1:
Mv to (0, 0)
Dr fr (0, 0) to (0, 1)
Dr fr (0, 1) to (0, 2)
Dr fr (0, 2) to (0, 3)
Dr fr (0, 3) to (0, 4)
Dr fr (0, 4) to (0, 5)
Dr fr (0, 5) to (0, 6)
Dr fr (0, 6) to (0, 7)
Dr fr (0, 7) to (0, 8)
Dr fr (0, 8) to (0, 9)
Dr fr (0, 9) to (0, 10)
Dr fr (0, 10) to (0, 11)
Dr fr (0, 11) to (0, 12)
Dr fr (0, 12) to (0, 13)
Dr fr (0, 13) to (0, 14)
Dr fr (0, 14) to (0, 15)
Dr fr (0, 15) to (0, 16)
Dr fr (0, 16) to (0, 17)
Dr fr (0, 17) to (0, 18)
Dr fr (0, 18) to (0, 19)
Dr fr (0, 19) to (0, 20)
Dr fr (0, 20) to (0, 21)
Dr fr (0, 21) to (0, 22)
Dr fr (0, 22) to (0, 23)
Dr fr (0, 23) to (0, 24)
Dr fr (0, 24) to (0, 25)
Dr fr (0, 25) to (0, 26)
Dr fr (0, 26) to (0, 27)
Dr fr (0, 27) to (0, 28)
Dr fr (0, 28) to (0, 29)
Dr fr (0, 29) to (0, 30)
Dr fr (0, 30) to (0, 31)
Dr fr (0, 31) to (0, 32)
Dr fr (0, 32) to (0, 33)
Dr fr (0, 33) to (0, 34)
Dr fr (0, 34) to (0, 35)
Dr fr (0, 35) to (0, 36)
Dr fr (0, 36) to (0, 37)
Dr fr (0, 37) to (0, 38)
Dr fr (0, 38) to (0, 39)
Dr fr (0, 39) to (0, 40)
Dr fr (0, 40) to (0, 41)
Dr fr (0, 41) to (0, 42)
Dr fr (0, 42) to (0, 43)
Dr fr (0, 43) to (0, 44)
Dr fr (0, 44) to (0, 45)
Dr fr (0, 45) to (0, 46)
Dr fr (0, 46) to (0, 47)
Dr fr (0, 47) to (0, 48)
Dr fr (0, 48) to (0, 49)
Dr fr (0, 49) to (0, 50)
Dr fr (0, 50) to (0, 51)
Dr fr (0, 51) to (0, 52)
